label,joint,mse,rmse,samples
left_00021_BT24__ball_toss_1_1_seg_00,0,0.00011485899398335002,0.0107172288388067,1984
left_00021_BT24__ball_toss_1_1_seg_00,1,0.00010943430888743058,0.010461085454551577,1984
left_00022_BT24__ball_toss_1_1_seg_01,0,0.0005659488734573744,0.023789679978036157,1984
left_00022_BT24__ball_toss_1_1_seg_01,1,0.009613386242090306,0.09804787729517812,1984
left_00023_BT24__ball_toss_1_1_seg_02,0,0.0025054022798164837,0.0500539936450278,1984
left_00023_BT24__ball_toss_1_1_seg_02,1,0.002360272907620188,0.0485826399819955,1984
left_00024_BT24__ball_toss_1_1_seg_03,0,0.0012377298280299876,0.03518138468039579,1984
left_00024_BT24__ball_toss_1_1_seg_03,1,0.0025537874274855297,0.050535011897550094,1984
left_00025_BT24__ball_toss_1_1_seg_04,0,0.00035777084870358244,0.018914831447929492,1984
left_00025_BT24__ball_toss_1_1_seg_04,1,0.004169376874796775,0.06457071220605186,1984
left_00026_BT24__ball_toss_1_1_seg_05,0,0.000598164344508063,0.02445739856378971,1984
left_00026_BT24__ball_toss_1_1_seg_05,1,0.006942708025181543,0.08332291416640168,1984
left_00027_BT24__ball_toss_1_1_seg_06,0,0.0007119272990591488,0.02668196580200096,1984
left_00027_BT24__ball_toss_1_1_seg_06,1,0.016234726577445114,0.12741556646440463,1984
left_00028_BT24__ball_toss_1_1_seg_07,0,3.3116976803935175e-05,0.005754735163666107,384
left_00028_BT24__ball_toss_1_1_seg_07,1,4.471000687160042e-05,0.006686554185198862,384
