label,joint,mse,rmse,samples
left_00029_BT24__incline_walk_1_1_seg_00,0,0.0001094576356332928,0.0104622003246589,1984
left_00029_BT24__incline_walk_1_1_seg_00,1,9.997065297998422e-05,0.009998532541327463,1984
left_00030_BT24__incline_walk_1_1_seg_01,0,0.0009292518186946636,0.0304836319800424,1984
left_00030_BT24__incline_walk_1_1_seg_01,1,0.0005486461626349407,0.023423197105325755,1984
left_00031_BT24__incline_walk_1_1_seg_02,0,0.006279488211366165,0.07924322186386773,1984
left_00031_BT24__incline_walk_1_1_seg_02,1,0.002134474200759258,0.04620037013660451,1984
left_00032_BT24__incline_walk_1_1_seg_03,0,0.008047465730251184,0.08970766817976703,1984
left_00032_BT24__incline_walk_1_1_seg_03,1,0.0027047198918381415,0.05200692157624927,1984
left_00033_BT24__incline_walk_1_1_seg_04,0,0.008273458579767436,0.09095855418687918,1984
left_00033_BT24__incline_walk_1_1_seg_04,1,0.0026594717371472725,0.05157006628992513,1984
left_00034_BT24__incline_walk_1_1_seg_05,0,0.005379344964971703,0.07334401792219801,1984
left_00034_BT24__incline_walk_1_1_seg_05,1,0.0058201957828413866,0.07629020764712459,1984
left_00035_BT24__incline_walk_1_1_seg_06,0,0.002478027015716495,0.04977978521163481,1984
left_00035_BT24__incline_walk_1_1_seg_06,1,0.0037374046498834215,0.06113431646696822,1984
left_00036_BT24__incline_walk_1_1_seg_07,0,0.0026408898580227136,0.05138958900422063,1984
left_00036_BT24__incline_walk_1_1_seg_07,1,0.004443430908755676,0.06665906471557845,1984
left_00037_BT24__incline_walk_1_1_seg_08,0,0.0026040933999039667,0.051030318438198746,1984
left_00037_BT24__incline_walk_1_1_seg_08,1,0.005191169011582866,0.07204976760255974,1984
left_00038_BT24__incline_walk_1_1_seg_09,0,0.0012868258824609935,0.03587235540720728,598
left_00038_BT24__incline_walk_1_1_seg_09,1,0.0024513032259323524,0.04951063750278674,598
